url,segment_no,cumle_icerigi,sozcuk_sayisi
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,13,muhakkak istisnaları var insanlar zamanları iç dünyalarına yönelmek yıllardır okumak istedikleri halde vakit bulamadıkları kitapları okumak değerlendirmek istemedi ifadelerini kullanan esen kitapevlerinin zincir kitap mağazalarının kapalı olmasıyla kitaba sadece online satış yapan mecralar vasıtasıyla erişebildiğini kaydetti online kitap satış mağazalarının süreçte iş yapan sayıdaki firmalar arasına girdiğini belirten esen açık kitap mağazası kalmayınca bütün talepler buralara yöneldi siteler hesaba katmadıkları bir taleple karşılaştılar,63
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,14,bu talep kitap okuma sayısınına artmasıyla ilgili değildi şeklinde konuştu,10
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,15,evine kapanmış yayınevini kapatmış siparişlerle ilgilenmeyen yayıncılar var,8
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,16,bu nedenle online mağazalar mağdur oldu,6
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,17,çünkü siparişleri karşılayamaz duruma düştüler diyen esen şunları söyledi matbaalar kapalı olduğu talep karşılanamadı,14
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,18,bu nedenle online mağazalar marka değerlerini korumak siparişlerde aksaklık yaşamamak portföylerindeki kitapların belli bir kısmını satışa kapattılar,17
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,19,bu dönemde kitaplara bir ilgil beklediklerini kitapların yeterli ilgiyi görmediğini aktaran esen toplumun temel ihtiyaçlarını karşılayan yerler belli zaman dilimlerinde açık tutuluyorsa şehirlerdeki kitapevleri hizmete açılabilir düşüncesinde okul öncesi yaşlarda çocuğu olan ailelerin etkinlik kıtalarına ihtiyaç duyduğunu kitapları bulamadığını ifade eden esen ailelerde çocukla ilgilenen genelde anneler oluyor,48
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,20,çoğu annenin elinin altında bir kredi kartı yok,8
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,21,dolayısıyla online sipariş verebilecek durumda değil,6
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,22,kapıda ödeme yöntemiyle hizmet veren kuruluşlar kapısını çalsa onlardan kitap alacak,11
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,23,bu mümkün olamıyor ifadelerini kullandı türkiye koronavirüsü eksen alan çocuklara koronavirüs demeden konuyu anlatan ilk kitabı panik yok virüs senden korksun ismiyle kendilerinin yayınladığı söyleyen esen ebeveynler infiale kapılmış yapacağını bilemiyor çocuğuna güven telkin edecek bilgiye sahip değiller,38
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,24,çocuğuna kitabı okurken kendisi yapması gerektiğinin farkına varsın arzusuyla bir kitap oluşturduk,12
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,25,bu kitap moğolistan yayına hazırlanmış moğolistan sağlık bakanlığı tartından çocuklara dağıtılmıştı,11
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,26,kitabın türkiye haklarını aldık türkçe olarak yayınladık sembolik bir fiyattan satışa sunduk,12
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,27,ama maalesef ilgi görmedi dedi,5
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,28,türkiye basım yayın meslek birliği başkanı mustafa doğru yayıncılık sektöründe çalışanların neredeyse tamamının evden çalışmaya başladığını süreçte kitap fuarlarının iptal edildiğini kitap satan zincir mağazaların kapandığını tek satış kanalı olarak ticaretin kaldığını ifade etti salgın nedeniye özellikle anadolu daki kitapçıların olumsuz etkilendiğini vurgulayan doğru kısıtlamalar yayıncıların gelirleri büyük oranda azalmış oldu dedi,52
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,29,sektörün hükümet tarafından yürürlüğe konulan kısa çalışma ödeneğinden faydalandığını mücbir sebebe alındı sgk vergi ödemelerinin ertelendiğini hatırlatan doğru sektör temsilcilerinin kredi garanti fonu kredilerinden yararlandığını kaydetti,26
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,30,sosyal medyadaki evde kal kitap oku kampanyalarıyla insanların bir kısmı kitapları yeniden keşfetti diyen doğru okuyan kesim genişledi,18
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,31,kitap bizi evde sıkıştığımız günlerde alıp dünyayı dolaştırabilen yeni bilgiler verebilen bizi eğlendirebilen eski dostumuz türkiye nin normalleşme sürecine göre bizler normalleşmeyi dört gözle bekliyor tekrar okuyucularımızla fuarlarda buluşmayı diliyoruz ifadelerini kullandı çıra yayınları ndan hasan güler salgın nedeniyle istihdamın azalmasının kitap alışverişine etki ettiği kanaatinde,46
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,32,bu psikoloji içerisinde olan bir insanın sağlıklı okuma yapamayacağı düşünüyorum diyen güler döviz kurlarının yükselmesiyle birim fiyatların yıl içinde neredeyse kat arttığına dikkat çekti,24
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,33,salgın nedeniyle iptal edilen kitap fuarlarının yayıncılar açısından değil okuyucular açısından kayıp olduğunu söyleyen güler fuarlar genel itibariyle yayıncı açısından zararla sonuçlanan bir etkinliktir dedi,25
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,34,evde kal kampanyasına destek vermek amacıyla yayınladıkları kitaplarda ciddi oranda indirimler yaptıklarını belirten güler nisan ayı kitap satış grafiğiyle başlangıç seviyesindeki kitapların satışının olsa yükseldiğini vurguladı,26
https://www.indyturkish.com/node/171756/haber/koronavirüs-salgını-kitap-sektörünü-nasıl-etkiledi-evde-kalanlar-kitap-okuyor-mu,35,the independentturkish,2
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,0,pablo picasso nun küçük bir i̇spanyol kasabasında franco nun nazi müttefikleri faşistler tarafından işlenen katliamı resmettiği guernica adlı meşhur tablosunu yaptığı yıl sırada fransız vatandaşlığına geçen marc chagall meslektaşının söz konusu eserinin elde edeceği ilginin bir kısmına bile erişemeyecek olan devrim adlı tablosunu tamamlıyordu,44
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,1,nitekim picasso nun siyasi tutumu radikal sağa karşıtlığının sembolü haline gelen tablosunda net bir şekilde ifade edilirken chagall ın tutumu onu ülkesinden kaçmaya zorlayan devrime ortak olmayı reddeder şekilde belirsizdi yaşamın tatlılığından devrimin karanlığınasonuç olarak siyasetteki yeri net olmayan chagall hayatın tatlı yüzünün çocukluk anılarının sevgi yaşam ruhlu kutlamaların sahneleri bir efsane haline getirmenin ferahlığın sanatçısı olarak tanınır,58
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,2,sanatındaki birçok ifadede açıkça anlaşıldığı yahudi olmasına rağmen i̇ncil hz,10
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,3,i̇sa nın hayatından kana kana içmiş üzüntü sitemleri bir kenara bırakarak yüzünü daima bahara çevirmiştir,15
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,4,buna rağmen pompidou merkezi ndeki devrim adlı tablosu siyasi ifadeleri içinde barındırıyor,12
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,5,moskova nın stalinist politikalarını kınamak yerine devrimin kendisini beraberindeki açlığı salgınları soykırımı kınamaya yönelik bir yaklaşım sergiliyor tabloda lenin tepetaklak duruyor insanların sefalet içindeki halleri göze çarpıyor bolşeviklerin silahlarının insanlara doğrultulduğu görülüyor,32
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,6,tüm bunlar fazlası cevaplarını chagall ın hayatında bulabileceğimiz sorulara dönüşüyor fakir dindar yahudi bir ailenin dokuz çocuğundan olarak rus şehri vitebsk yakınlarında dünyaya gelen chagall çocukluğunu masal hayal efsanelerin kucağında şamatalı bir toplumsal yaşamın sakin kıyılarında geçirdi,37
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,7, yaşına geldiğinde sanatsal edebi meyli onu yaşıtlarından ayırıyordu,8
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,8,aynı yıl st petersburg taşınması gerektiğinde alanda çalışmak üzere sanat destekleyicileri topluluğu na ait okula girdi,16
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,9,i̇lerleyen yıllarda girdiği okulda meşhur leon bakst birlikte çalıştı,9
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,10,kısa süre sonra büyük hayallerin isteklerin peşinden koşarak paris seyahat etti,11
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,11,bu seyahat onun gerçek bir başlangıç oldu la ruchechagall paris te dönemin sayıda ünlü yazar sanatçısının yaşadığı bina olan la ruche oturdu,22
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,12,böylece sanat çevresi genişlemiş birçok sanatçının arkadaşı haline gelmişti,9
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,13,burada yaşadığı dört sene hayatının sanatının değerli yılları haline geldi,10
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,14,chagall aynı zamanda söz konusu dönemde çizdiği resimlerde rus memleketine olan muazzam özlemini yansıtıyordu,14
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,15,belki te onu rusya geri götüren hayatının son anına kadar onu yalnız bırakmayacak olan özlemdi,15
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,16,ertesi yıl önceden tanıştığı bir kadınla dünya evine girdi,9
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,17,sonraki yıl rusya kalan chagall zenginliğinin ona tecrübe sunduğu batı ya açılan kökenine bağlı entelektüel bir yazar çizer haline geldi,20
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,18, rus devrimi başladığında vitebsk güzel sanatlar bakanı olarak atandı aynı zamanda şehrin akademik alandaki sorumlusu seçildi,16
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,19,ancak iki sene sonra görevlerinden istifa ederek moskova taşındı,9
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,20,burada kendisinden devlete ait yahudi tiyatrosuna duvar resmi çizmesi istendi bu görevi tamamlayan chagall başkentteki siyasi iklimin artık ona uygun olmadığını hissederek rusya yı bir geri dönmeyecek şekilde terk etti,30
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,21,önce berlin oradan paris taşındı,5
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,22,fransa uzun bir zaman geçirdikten sonra i̇kinci dünya savaşı yıllarında abd ye geçti evliliği memleket hatıralarıchagall ın eserlerini yakından incelediğimizde rus folklorunun sanatçı üzerinde ciddi bir etkisi olduğunun farkına varırız,30
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,23,bu yoğun etki hayatının erken döneminde çizdiği ölen adam tablosunda ortaya çıkmıştır sanatçının ta rusya döndükten sonraki çizimlerinde renklerin soğuduğu gerçeği gözden kaçmamalıdır,23
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,24,ancak çizdiği şekiller ona bitmeyecek bir zenginlik kazandırmıştır,8
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,25,aynı zamanda sayıda tablosunda ressamın kendi evliliğine özel bir yer ayırdığı nitekim gelişmenin onu etkilemiş olduğu evlilik aşk konuların eserlerinin ana temalarını teşkil ettiği görülüyor,25
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,26,moskova daki devlet tiyatrosu nda köy hayatından folklora kendi dünyasını yansıttığı duvar resimlerinde dahi mutluluk düğün sevinç temaları ön plana çıkıyor chagall ın kitap posterlere basılan oyma eserleri mevcut,29
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,27,ancak bunları çoğunlukla istek üzerine yapmıştır,6
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,28,çizimleriyle beraber çalışmalarında eşsiz renkler kullanmış neşe inanç hayat akışının hakim olduğu temalara başvurdu bu yüzden soru oldukça fazla sorulur chagall savaş devrim tablolarındaki kasvetli havayı resmetti,27
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,29,savaş tablosu kadar hayatının son yıllarında çizilmiş olmasıyla gerekçelendirilebilir olsa devrim tablosunu haklı çıkaracak net hususlar yok,17
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,30,zira halk cephesi tarafından yönetilen aynı zamanda vatandaşlığını aldığı fransa hayatın ona gülümsediğinin anlaşıldığı sırada çizilmişti,16
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,31,devrim tablosu devrimin fransa tekrarlanabileceğine olan korkusunu yansıtıyordu yoksa memleketi rusya çıkan kendisinin kaçtığı devrimden mi bahsediyordu,17
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,32,i̇çerik orijinal haline bağlı kalınarak çevrilmiştir,6
https://www.indyturkish.com/node/171836/kültür/devrim-marc-chagall’ın-gözünde-bir-felaket-olduğu-vakit,33,independent türkçe nin editöryal politikasını yansıtmayabilir independent türkçe çeviren elif turanindependentarabia com node ,13
https://www.indyturkish.com/node/171841/bilim/bilim-insanlarından-çığır-açan-dinozor-keşfi-spinosaurusların-yüzdüğü-kanıtlandı,0,dünya üzerinde yaşamış büyük gizemli dinozor türlerinden birinin keşfedilen kuyruk fosili uzun zaman önce nesli tükenmiş canlılar hakkında bir türlü çözülemeyen tartışmayı sonlandıracak gözüküyor,24
https://www.indyturkish.com/node/171841/bilim/bilim-insanlarından-çığır-açan-dinozor-keşfi-spinosaurusların-yüzdüğü-kanıtlandı,1,spinosaurus aegyptiacus adlı teropod grubuna dahil dinozorun kuyruk fosili devasa avcıların suda yaşadığını milyonlarca yıl önce ırmaklarda avlanmak uzun kuyruklarını kullandığını ortaya koydu bu bölüm konuyla ilgili referans noktalarını içerir,30
https://www.indyturkish.com/node/171841/bilim/bilim-insanlarından-çığır-açan-dinozor-keşfi-spinosaurusların-yüzdüğü-kanıtlandı,2,related nodes field keşif detroit mercy üniversitesi nden paleontolog nizar i̇brahim yönetimindeki ekip tarafından yapıldı i̇brahim keşif dinozorlar hakkında yeni bir olasılıklar evrenine gözümüzü açmamıza yol açtı,27
https://www.indyturkish.com/node/171841/bilim/bilim-insanlarından-çığır-açan-dinozor-keşfi-spinosaurusların-yüzdüğü-kanıtlandı,3,bu sadece önceki anlatıya bir ek değil tamamen yeni bir hikaye başlatıyor dinozorların neler yapabileceğine ilişkin bildiklerimizi şiddetli bir değişime uğratıyor dedi bilim insanları on yıllar önce karadaki dinozorların suda yaşayabileceğini varsaymış ancak fikir yakın tarihte gözden düşmüştü,38
https://www.indyturkish.com/node/171841/bilim/bilim-insanlarından-çığır-açan-dinozor-keşfi-spinosaurusların-yüzdüğü-kanıtlandı,4,çoğu araştırmacı havada uçamayan dinozorların karayla sınırlı olduğunu söylemişti spinosauruslar konuyu karmaşıklaştırmış önce bulunan kemik fosilleri yaratıkların kara suda yaşayabileceğini işaret etmişti i̇brahim ekibi önceki çalışamalarında iddiayı savunsa yeterli bulgu olmadığı karşı tezler gelmişti,34
https://www.indyturkish.com/node/171841/bilim/bilim-insanlarından-çığır-açan-dinozor-keşfi-spinosaurusların-yüzdüğü-kanıtlandı,5,büyük ihtimalle vaktinin çoğunu suda geçiriyordu fas taki kazılarda arayışını sürdüren uluslarası ekip nature da yayımlanan son araştırmalarında tartışmaya son noktayı koyduklarını savundu spinosauruslar ın vaktinin çoğunu suda geçirdiği savunulan araştırma fas ın doğusundaki sahra çölü nde bulunan kuyruk fosiline dayanıyor milyon arası yaşta olduğu hesaplanan fosil dünyada sadece bir adet bulunan spinosaurus iskeletini tamamlamış oldu yüzgeç benzeri esnek kuyruğa sahip canlının tamamen suda yaşayan omurgalı canlılarla eşit performans gösterdiği belirtildi araştırma dinozor türlerinin yüzebildiğine ilişkin iyi kanıtı sağlamış oldu i̇brahim bu keşif uçmayan dinozorların suda yaşamadığına ilişkin fikrin tabutuna çiviyi çaktı,92
https://www.indyturkish.com/node/171841/bilim/bilim-insanlarından-çığır-açan-dinozor-keşfi-spinosaurusların-yüzdüğü-kanıtlandı,6,bu dinozor su kütlelerinde aktif olarak avlanıyordu,7
https://www.indyturkish.com/node/171841/bilim/bilim-insanlarından-çığır-açan-dinozor-keşfi-spinosaurusların-yüzdüğü-kanıtlandı,7,sadece sığ sularda durarak değil yüzerek bunu yapıyordu,8
https://www.indyturkish.com/node/171841/bilim/bilim-insanlarından-çığır-açan-dinozor-keşfi-spinosaurusların-yüzdüğü-kanıtlandı,8,büyük ihtimalle vaktinin çoğunu suda geçiriyordu dedi,7
https://www.indyturkish.com/node/171841/bilim/bilim-insanlarından-çığır-açan-dinozor-keşfi-spinosaurusların-yüzdüğü-kanıtlandı,9,independent türkçe science alert,4
https://www.indyturkish.com/node/171366/bilim/hubble-uzay-teleskopu-atlas-kuyrukluyıldızının-parçalandığı-anı-görüntüledi,0,abd havacılık uzay dairesi nasa avrupa uzay ajansı nın esa ortak projesi olan hubble uzay teleskopu atlas kuyrukluyıldızının parçalandığı anı görüntüledi,21
https://www.indyturkish.com/node/171366/bilim/hubble-uzay-teleskopu-atlas-kuyrukluyıldızının-parçalandığı-anı-görüntüledi,1,geçen yıl aralık ta tespit edilen atlas kuyrukluyıldızının mayıs ta dünya nın yaklaşık milyon kilometre uzağından geçeceği aktarıldı,18
https://www.indyturkish.com/node/171366/bilim/hubble-uzay-teleskopu-atlas-kuyrukluyıldızının-parçalandığı-anı-görüntüledi,2,hubble uzay teleskopu aracılığıyla elde edilen iki yeni görüntüde kuyrukluyıldızın parçaya ayrıldığının tespit edildiği belirtildi space in aktardığına göre hubble uzay teleskopu aracılığıyla nisan bilimsel olarak ismiyle bilinen kuyrukluyıldızdan parça tespit edildikten sonra nisan sadece parça tespit edilebildi,38
https://www.indyturkish.com/node/171366/bilim/hubble-uzay-teleskopu-atlas-kuyrukluyıldızının-parçalandığı-anı-görüntüledi,3,kaliforniya üniversitesi nden gezegen bilimi astronomi profesörü daivd jewitt görünüşleri iki içinde önemli ölçüde değiştiği noktaları birleştirmek zor,18
https://www.indyturkish.com/node/171366/bilim/hubble-uzay-teleskopu-atlas-kuyrukluyıldızının-parçalandığı-anı-görüntüledi,4,bunun münferit parçaların güneş ışığını yansıtırken yanıp sönmesi noel ağacında parlayan ışıklar davranması farklı günlerde farklı parçaların ortaya çıkması nedeniyle gerçekleşip gerçekleşmediğini bilmiyorum ifadelerini kullandı,25
https://www.indyturkish.com/node/171366/bilim/hubble-uzay-teleskopu-atlas-kuyrukluyıldızının-parçalandığı-anı-görüntüledi,5,öte yandan ikinci hubble gözlem ekibinin başındaki maryland üniversitesi nden quanzhi ye bu gerçekten heyecan verici,16
https://www.indyturkish.com/node/171366/bilim/hubble-uzay-teleskopu-atlas-kuyrukluyıldızının-parçalandığı-anı-görüntüledi,6,hem tip olayları izlemesi eğlenceli olduğu sık gerçekleşmedikleri belirtti,9
https://www.indyturkish.com/node/171366/bilim/hubble-uzay-teleskopu-atlas-kuyrukluyıldızının-parçalandığı-anı-görüntüledi,7,parçalanan kuyrukluyıldızların çoğu görülemeyecek kadar loş,6
https://www.indyturkish.com/node/171366/bilim/hubble-uzay-teleskopu-atlas-kuyrukluyıldızının-parçalandığı-anı-görüntüledi,8,bu boyuttaki olaylar on yılda sadece bir iki meydana gelir bu gözlemlerin kuyrukyıldızların olağanüstü parçalanmalarını detaylı biçimde göstermesine ek olarak bilim insanlarının görüntüleri kuyrukluyıldızların parçalandıklarını iyi anlamak kullandıkları aktarıldı,29
https://www.indyturkish.com/node/171366/bilim/hubble-uzay-teleskopu-atlas-kuyrukluyıldızının-parçalandığı-anı-görüntüledi,9,araştırmacıların yaptığı açıklamaya göre gözlemleri inceleyen bilim insanları kuyrukluyıldızların şekilde önce düşünülenden yaygın biçimde parçalanabileceğini fark etti,17
https://www.indyturkish.com/node/171366/bilim/hubble-uzay-teleskopu-atlas-kuyrukluyıldızının-parçalandığı-anı-görüntüledi,10,buna ek olarak nisan hubble ın uzaydaki yılını kutladığı belirtildi,10
https://www.indyturkish.com/node/171366/bilim/hubble-uzay-teleskopu-atlas-kuyrukluyıldızının-parçalandığı-anı-görüntüledi,11,uzay teleskopu yıl içinde milyondan fazla gözlem gerçekleştirdi uzayda binden fazla nesne tespit etti,14
